TSTEP,Rh_litter,Rh_soil,Rh_total,C_litter,C_soil,C_total
3591,1.7160031,1.324772,3.040775,4.499054,21.235672,25.734726
3592,1.5072367,1.1982334,2.70547,4.5024986,21.235981,25.73848
3593,1.4629396,1.1464597,2.6093993,4.5055695,21.236298,25.741867
3594,1.3026841,1.0375676,2.3402517,4.508545,21.23656,25.745106
3595,1.4161365,1.030451,2.4465876,4.5109158,21.236946,25.747862
3596,1.8987172,1.2459188,3.144636,4.511982,21.237604,25.749586
3597,2.1572518,1.4192235,3.5764754,4.512226,21.238348,25.750574
3598,2.074195,1.4595336,3.5337286,4.5123653,21.238966,25.751331
3599,1.7582159,1.336515,3.0947309,4.5128956,21.239386,25.752281
3600,1.5115925,1.1878897,2.6994822,4.5137005,21.239706,25.753407
3601,1.5763868,1.1777247,2.7541115,4.5141735,21.240105,25.754278
3602,1.8066496,1.296265,3.1029146,4.5140057,21.240618,25.754623
3603,2.159518,1.4490137,3.6085317,4.5498333,21.24132,25.791153
3604,1.9800903,1.427473,3.4075632,4.547447,21.241852,25.789299
3605,1.6599174,1.2604842,2.9204016,4.5456963,21.242235,25.787931
3606,1.5903283,1.2024189,2.7927473,4.5440826,21.242607,25.78669
3607,1.8142129,1.2619249,3.0761378,4.542017,21.243149,25.785166
3608,1.9683146,1.3559806,3.3242953,4.5396442,21.24375,25.783394
3609,1.8167088,1.2841344,3.1008432,4.537571,21.244274,25.781845
3610,1.8368176,1.3048528,3.1416705,4.5354576,21.244799,25.780256
3611,1.752673,1.2710608,3.0237339,4.53351,21.245274,25.778784
3612,1.6750355,1.2394774,2.9145129,4.531719,21.245703,25.777422
3613,1.8927002,1.3239043,3.2166045,4.5294876,21.24627,25.775757
3614,1.8735701,1.3423954,3.2159655,4.5272923,21.2468,25.774092
3615,1.4656049,1.1687251,2.63433,4.525915,21.247093,25.773008
3616,1.4070027,1.0951047,2.5021074,4.5246544,21.247404,25.772058
3617,1.4607345,1.0777189,2.5384533,4.523281,21.24779,25.77107
3618,1.6379886,1.2076638,2.8456523,4.521553,21.248222,25.769775
3619,1.3226204,1.0487783,2.3713987,4.520458,21.248497,25.768955
3620,1.3297988,1.0254327,2.3552315,4.519346,21.248804,25.76815
3621,1.8687781,1.2792732,3.1480513,4.517151,21.249403,25.766554
3622,1.3985701,1.1224041,2.5209742,4.5158997,21.249683,25.765583
3623,1.06814,0.927338,1.995478,4.515312,21.249826,25.765139
3624,0.9937751,0.861691,1.8554661,4.5148716,21.24996,25.764832
3625,0.9230205,0.78995,1.7129705,4.514574,21.250095,25.76467
3626,1.0697434,0.8476011,1.9173446,4.513979,21.250322,25.764301
3627,1.1007459,0.87894434,1.9796902,4.513321,21.250551,25.763872
3628,0.95329887,0.8118785,1.7651774,4.5129604,21.250696,25.763657
3629,0.6857575,0.63810396,1.3238615,4.513138,21.250744,25.763882
3630,0.78249294,0.649321,1.431814,4.5131187,21.250881,25.764
3631,0.8812744,0.69890016,1.5801746,4.5128994,21.25107,25.76397
3632,1.1880877,0.85856026,2.046648,4.512062,21.25141,25.763472
3633,1.3493062,0.9723927,2.321699,4.5109024,21.251797,25.7627
3634,0.89625776,0.79273343,1.6889912,4.5106544,21.251905,25.76256
3635,0.78712976,0.6889782,1.476108,4.510624,21.252008,25.762632
3636,0.7334869,0.6369332,1.3704201,4.510702,21.25211,25.762812
3637,0.7525907,0.6478078,1.4003985,4.5107403,21.252218,25.762959
3638,0.7612046,0.6442288,1.4054334,4.5107613,21.25234,25.763102
3639,0.8415926,0.6785943,1.5201869,4.51062,21.25251,25.76313
3640,0.85970813,0.69804937,1.5577575,4.5104427,21.252678,25.76312
3641,0.6781978,0.6016006,1.2797984,4.5106297,21.25276,25.76339
3642,0.76555216,0.61817884,1.383731,4.510641,21.252913,25.763554
3643,0.89882123,0.693516,1.5923373,4.5103817,21.253128,25.76351
3644,1.2229898,0.85659885,2.0795887,4.50947,21.253508,25.762978
3645,1.0334828,0.8154276,1.8489105,4.5089397,21.253736,25.762676
3646,0.9105385,0.76788956,1.678428,4.5086594,21.253887,25.762547
3647,0.6324313,0.6132079,1.2456392,4.508938,21.25391,25.762848
3648,0.62724453,0.54988843,1.177133,4.509226,21.253992,25.763218
3649,0.87109745,0.662977,1.5340744,4.5090218,21.25421,25.763231
3650,0.9861641,0.7484163,1.7345804,4.508585,21.25446,25.763044
3651,0.6469748,0.60945904,1.2564338,4.508833,21.254501,25.763334
3652,0.511605,0.49218324,1.0037882,4.5093536,21.254524,25.763878
3653,0.56732774,0.50058866,1.0679164,4.50976,21.254597,25.764357
3654,0.62301654,0.52593356,1.1489501,4.5100555,21.2547,25.764755
3655,0.7046871,0.5693848,1.2740719,4.5101852,21.254843,25.765028
3656,0.77753186,0.6096288,1.3871607,4.510168,21.255018,25.765186
3657,0.7704034,0.631701,1.4021044,4.510166,21.255165,25.765331
3658,0.6077651,0.56235886,1.1701239,4.5104904,21.255217,25.765707
3659,0.5589838,0.5118859,1.0708697,4.5109158,21.255268,25.766184
3660,0.60736316,0.5217349,1.129098,4.51124,21.25536,25.7666
3661,0.68418956,0.5584624,1.2426519,4.5114098,21.255493,25.766903
3662,0.7319685,0.5802096,1.3121781,4.511484,21.255653,25.767138
3663,0.8271954,0.6234714,1.4506668,4.511366,21.255867,25.767233
3664,0.99277943,0.72521657,1.717996,4.510912,21.256147,25.76706
3665,1.0904286,0.79336566,1.8837943,4.5102634,21.256458,25.766722
3666,1.013824,0.78412026,1.7979442,4.5097675,21.256702,25.76647
3667,1.1113565,0.8305038,1.9418603,4.509075,21.256998,25.766073
3668,1.034075,0.8180226,1.8520976,4.508539,21.257227,25.765766
3669,0.95624524,0.77950853,1.7357538,4.5081577,21.257418,25.765575
3670,0.84338266,0.7047799,1.5481626,4.508005,21.257566,25.765572
3671,0.9053958,0.7256765,1.6310723,4.5077267,21.25776,25.765486
3672,0.9042209,0.72353536,1.6277562,4.507452,21.257952,25.765404
3673,1.0350332,0.79326683,1.8283001,4.5069103,21.25821,25.76512
3674,1.5618286,1.0454898,2.6073184,4.5053043,21.258753,25.764057
3675,0.9767366,0.84636897,1.8231056,4.504881,21.258898,25.763779
3676,0.82943887,0.7321233,1.5615622,4.504755,21.259007,25.763762
3677,0.7618484,0.68164474,1.4434931,4.5047626,21.259098,25.76386
3678,0.526148,0.5286936,1.0548416,4.505247,21.259104,25.76435
3679,0.47578493,0.46523795,0.9410229,4.5058346,21.259119,25.764954
3680,0.51040065,0.4566452,0.96704584,4.5063496,21.25918,25.76553
3681,0.66283625,0.5394191,1.2022554,4.5065556,21.259315,25.765871
