TSTEP,LITTER_INPUT,LITTER_TEMP,LITTER_MOIST,SOIL_TEMP,SOIL_MOIST
1180,0.0,6.265289306640625,0.952664315700531,5.691070556640625,0.9980489611625671
1181,0.0,9.688385009765625,0.8878865838050842,7.408294677734375,0.9952371716499329
1182,0.0,10.1630859375,0.9806964993476868,8.5159912109375,0.9932708144187927
1183,0.0,0.46966552734375,0.9955976605415344,4.093170166015625,0.9998224973678589
1184,0.0,-3.42034912109375,0.9985806941986084,1.336761474609375,0.99994295835495
1185,0.0,-0.940948486328125,0.9884623289108276,0.628265380859375,0.9995301365852356
1186,0.0,8.4786376953125,0.9915030598640442,5.095306396484375,0.9994566440582275
1187,0.0,7.540802001953125,0.9975293278694153,6.32568359375,0.9972351789474487
1188,0.0,4.2784423828125,0.9986493587493896,4.68194580078125,0.9999459385871887
1189,0.0,7.295928955078125,0.9968938827514648,5.742431640625,0.9998588562011719
1190,0.0,-0.768096923828125,0.9562366604804993,2.08929443359375,0.9980323910713196
1191,0.0,-2.208984375,0.956600546836853,0.744293212890625,0.9981845021247864
1192,0.0,0.906524658203125,0.9946468472480774,1.376739501953125,0.999754011631012
1193,0.0,3.31280517578125,0.9837263822555542,2.7672119140625,0.9964175820350647
1194,0.0,5.230133056640625,0.9382831454277039,3.77789306640625,0.9974437355995178
1195,0.0,5.136474609375,0.9310075044631958,4.504058837890625,0.9950574040412903
1196,0.0,8.06573486328125,0.9714961647987366,5.7630615234375,0.9988206624984741
1197,0.0,6.225982666015625,0.8887038826942444,5.6102294921875,0.995274007320404
1198,0.0,7.815765380859375,0.8442828059196472,5.999969482421875,0.9932234287261963
1199,0.0,15.229400634765625,0.8067715764045715,10.15802001953125,0.9912747144699097
1200,0.0,17.113525390625,0.757817268371582,12.62213134765625,0.9889020323753357
1201,0.0,6.101104736328125,0.9204171299934387,8.038055419921875,0.9674689769744873
1202,0.0,7.428436279296875,0.9095987677574158,7.16400146484375,0.976219892501831
1203,0.0,10.516510009765625,0.8866456747055054,8.604278564453125,0.9815056920051575
1204,0.0,12.766937255859375,0.7145329713821411,10.138458251953125,0.9865530729293823
1205,0.0,12.14605712890625,0.8828861117362976,10.5150146484375,0.9608364701271057
1206,0.0,9.809539794921875,0.9900933504104614,9.461639404296875,0.9995546340942383
1207,0.0,4.2967529296875,0.950796902179718,6.32379150390625,0.9965057373046875
1208,0.0,5.324432373046875,0.8807904124259949,5.715911865234375,0.9949140548706055
1209,0.0,8.9801025390625,0.8297523260116577,7.40338134765625,0.9925290942192078
1210,0.0,10.661285400390625,0.9960740804672241,9.1605224609375,0.980324923992157
1211,0.0,11.020721435546875,0.9411500096321106,9.2420654296875,0.9975476861000061
1212,0.00141732134957072,12.7174072265625,0.8479732275009155,10.194183349609375,0.9933745861053467
1213,0.0034244975723546635,14.013885498046875,0.7621205449104309,11.675323486328125,0.9888186454772949
1214,0.006104124784584165,12.547943115234375,0.6824713945388794,11.045135498046875,0.9846880435943604
1215,0.009815189237471683,16.2869873046875,0.743371307849884,13.002685546875,0.9735294580459595
1216,0.0125731998192638,15.02392578125,0.9897591471672058,13.391448974609375,0.98057621717453
1217,0.017678497589419775,10.54522705078125,0.9027968049049377,10.675811767578125,0.9958474636077881
1218,0.024392955372786653,10.54376220703125,0.7638378739356995,10.111968994140625,0.9891378879547119
1219,0.027130207420099438,7.729217529296875,0.785888135433197,9.213226318359375,0.9780992269515991
1220,0.03453823455229064,12.14886474609375,0.9873345494270325,9.956451416015625,0.9985923767089844
1221,0.04235128834825051,15.5560302734375,0.9197577238082886,12.52655029296875,0.9927037954330444
1222,0.049377963792857214,14.3135986328125,0.8470345735549927,12.70330810546875,0.9876248240470886
1223,0.055251929819352556,12.78594970703125,0.8206053972244263,11.94683837890625,0.9842711091041565
1224,0.06170838993570525,14.67327880859375,0.7642545700073242,12.51263427734375,0.9649963974952698
1225,0.06717137260993454,16.652252197265625,0.9983096718788147,14.024627685546875,0.9999321699142456
1226,0.06965523353240859,10.270782470703125,0.9976062774658203,11.582183837890625,0.9998794794082642
1227,0.07039378560875863,6.608306884765625,0.9991773962974548,8.7203369140625,0.999967098236084
1228,0.07603867438161252,9.522491455078125,0.9668914079666138,9.056640625,0.9985878467559814
1229,0.08120443332231539,9.98681640625,0.9019092917442322,9.570037841796875,0.986495852470398
1230,0.08291529200686938,9.276214599609375,0.9994838833808899,9.549560546875,0.9999793171882629
1231,0.08872766358289488,11.203125,0.9585100412368774,9.874267578125,0.9982063174247742
1232,0.09552074648078204,13.2567138671875,0.8290650248527527,11.3477783203125,0.9913092851638794
1233,0.10406043849606503,13.73309326171875,0.6514747738838196,11.86407470703125,0.9826902151107788
1234,0.11093792968516089,14.289581298828125,0.569886326789856,12.60040283203125,0.9679831862449646
1235,0.11670446586221453,12.380584716796875,0.9782356023788452,12.278045654296875,0.7528814673423767
1236,0.12274346751976734,9.543426513671875,0.9078941345214844,10.73614501953125,0.790016770362854
1237,0.12892270407102457,13.272369384765625,0.8998594880104065,11.66497802734375,0.8348217010498047
1238,0.13249562296482773,12.28643798828125,0.9622011184692383,11.631805419921875,0.9649980068206787
1239,0.13896534670501956,12.972991943359375,0.949170708656311,11.803802490234375,0.9985266923904419
1240,0.14544016617754432,13.979522705078125,0.9851706624031067,12.5028076171875,0.9859622716903687
1241,0.15201497994416227,13.091156005859375,0.9942055940628052,12.2049560546875,0.9996119737625122
1242,0.1586777100076985,12.709991455078125,0.9912039041519165,12.0411376953125,0.9989132881164551
1243,0.16620018496513725,13.632843017578125,0.9350812435150146,12.3369140625,0.995012640953064
1244,0.1738263742576861,14.54278564453125,0.9621652364730835,12.996826171875,0.9882778525352478
1245,0.17307319612544733,12.78704833984375,0.9044391512870789,12.60076904296875,0.9783051609992981
1246,0.17746442807281984,10.584564208984375,0.9835249781608582,11.1107177734375,0.999317467212677
1247,0.18462405183335406,11.67938232421875,0.8600527048110962,11.00543212890625,0.9936299324035645
1248,0.18716478010087115,11.14324951171875,0.8204551935195923,11.251190185546875,0.9864069819450378
1249,0.19093235364514433,12.326263427734375,0.9987276792526245,11.41607666015625,0.9999489188194275
1250,0.19685467795474376,13.508087158203125,0.9593384265899658,12.199432373046875,0.9990168213844299
1251,0.20436006592954642,15.94586181640625,0.839937150478363,13.421844482421875,0.9928332567214966
